,FRENCH,ENGLISH,THEME,IMPORTANT,ENGLISH_nopunct,ENGLISH_noswords,ENGLISH_stem,FRENCH_nopunct,FRENCH_noswords,FRENCH_stem
1163,enlever quelqu’un,to abduct,crime criminalite,,to abduct,abduct,abduct,enlever quelqu’un,enlever quelqu ’,enlever quelqu ’
1164,enquêter,to investigate,crime criminalite,,to investigate,investigate,investig,enquêter,enquêter,enquêt
1165,entourer,to surround,crime criminalite,,to surround,surround,surround,entourer,entourer,entour
1166,escroquer,to swindle,crime criminalite,,to swindle,swindle,swindl,escroquer,escroquer,escroqu
1167,espionner,to spy,crime criminalite,,to spy,spy,spi,espionner,espionner,espionn
1168,étrangler,to strangle,crime criminalite,,to strangle,strangle,strangl,étrangler,étrangler,étrangler
1169,être libéré / mis en liberté sous caution,to be released/ remended on bail,crime criminalite,,to be released remended on bail,released remended bail,released remended bail,être libéré  mis en liberté sous caution,être libéré liberté sous caution,être libéré liberté sous caut
1170,être une prostituée,to be a prostitute,crime criminalite,,to be a prostitute,prostitute,prostitut,être une prostituée,être prostituée,être prostitué
1171,faire chanter,to blackmail,crime criminalite,,to blackmail,blackmail,blackmail,faire chanter,faire chanter,faire chant
1172,faire de la contrebande,to smuggle,crime criminalite,,to smuggle,smuggle,smuggl,faire de la contrebande,faire contrebande,faire contreband
1173,faire sauter,to blow up,crime criminalite,,to blow up,blow,blow,faire sauter,faire sauter,faire saut
1174,forcer,to force,crime criminalite,,to force,force,forc,forcer,forcer,forcer
1175,frauder,to defraud,crime criminalite,,to defraud,defraud,defraud,frauder,frauder,frauder
1176,interroger,to interrogate,crime criminalite,,to interrogate,interrogate,interrog,interroger,interroger,interrog
1177,kidnapper,to kidnap,crime criminalite,,to kidnap,kidnap,kidnap,kidnapper,kidnapper,kidnapp
1178,libérer,to release,crime criminalite,,to release,release,releas,libérer,libérer,libérer
1179,maltraiter,to abuse,crime criminalite,,to abuse,abuse,abus,maltraiter,maltraiter,maltrait
1180,menacer,to threaten,crime criminalite,,to threaten,threaten,threaten,menacer,menacer,menac
1181,mener une enquête,to lead an investigation,crime criminalite,,to lead an investigation,lead investigation,lead investig,mener une enquête,mener enquête,mener enquêt
1182,menotter,to handcuff,crime criminalite,,to handcuff,handcuff,handcuff,menotter,menotter,menott
1183,mettre le feu à,to set fire to,crime criminalite,,to set fire to,set fire,set fir,mettre le feu à,mettre feu,mettre feu
1184,poignarder,to stab,crime criminalite,,to stab,stab,stab,poignarder,poignarder,poignard
1185,prendre en otage,to take hostage,crime criminalite,,to take hostage,hostage,hostag,prendre en otage,prendre otage,prendre otag
1186,prouver,to prove,crime criminalite,,to prove,prove,prove,prouver,prouver,prouver
1187,questionner,to question,crime criminalite,,to question,question,question,questionner,questionner,questionn
1188,sceller,to seal off,crime criminalite,,to seal off,seal,seal,sceller,sceller,sceller
1189,tenir bon,to hold up,crime criminalite,,to hold up,hold,hold,tenir bon,tenir bon,tenir bon
1190,traduire en justice,to prosecute,crime criminalite,,to prosecute,prosecute,prosecut,traduire en justice,traduire justice,traduire justic
1191,traiter la drogue,to deal drug,crime criminalite,,to deal drug,deal,deal,traiter la drogue,traiter drogue,traiter drogu
1192,tuer,to kill,crime criminalite,,to kill,kill,kill,tuer,tuer,tuer
1193,violer,to rape,crime criminalite,,to rape,rape,rape,violer,violer,violer
1194,faire du chantage,to blackmail,crime criminalite,,to blackmail,blackmail,blackmail,faire du chantage,faire chantage,faire chantag
1195,accrédité,"accredited, authorised",crime criminalite,,accredited authorised,accredited authorised,accredited authoris,accrédité,accrédité,accrédité
1196,acquitté,acquitted,loi justice juridique en,,acquitted,acquitted,acquit,acquitté,acquitté,acquitté
1197,adn,dna,loi justice juridique en,,dna,dna,dna,adn,adn,adn
1198,affirmé,"stated, affirmed",loi justice juridique en,,stated affirmed,stated affirmed,stated affirm,affirmé,affirmé,affirmé
1199,agir de concert,"act together, acting in concert",loi justice juridique en,,act together acting in concert,act together acting concert,act together acting concert,agir de concert,agir concert,agir concert
1200,avec préméditation,premeditatedly,loi justice juridique en,,premeditatedly,premeditatedly,premeditatedli,avec préméditation,préméditation,préméditat
1201,clément,mild,loi justice juridique en,,mild,mild,mild,clément,clément,clément
1202,"délibéré, prémédité",wilful,loi justice juridique en,,wilful,wilful,wil,délibéré prémédité,délibéré prémédité,délibéré prémédité
1203,des aveux,confession,loi justice juridique en,,confession,confession,confess,des aveux,aveux,aveux
1204,des circonstances aggravantes,aggravating circumstances,loi justice juridique en,,aggravating circumstances,aggravating circumstances,aggravating circumst,des circonstances aggravantes,circonstances aggravantes,circonstances aggravant
1205,des coups et blessures,assault and battery,loi justice juridique en,,assault and battery,assault battery,assault batteri,des coups et blessures,coups blessures,coups blessur
1206,des dommages et intérêts,damages,loi justice juridique en,,damages,damages,damag,des dommages et intérêts,dommages intérêts,dommages intérêt
1207,des empreintes digitales,fingerprints,loi justice juridique en,,fingerprints,fingerprints,fingerprint,des empreintes digitales,empreintes digitales,empreintes digital
1208,des propos diffamatoires,defamatory statements,loi justice juridique en,,defamatory statements,defamatory statements,defamatory stat,des propos diffamatoires,propos diffamatoires,propos diffamatoir
1209,des renforts,reinforcements,loi justice juridique en,,reinforcements,reinforcements,reinforc,des renforts,renforts,renfort
1210,disculpation,disculpation,loi justice juridique en,,disculpation,disculpation,disculp,disculpation,disculpation,disculp
1211,du gaz lacrymogène,tear gas,loi justice juridique en,,tear gas,tear gas,tear ga,du gaz lacrymogène,gaz lacrymogène,gaz lacrymogèn
1212,en détention provisoire,on remand,loi justice juridique en,,on remand,remand,remand,en détention provisoire,détention provisoire,détention provisoir
1213,en fuite,"on the run, at large",loi justice juridique en,,on the run at large,run large,run larg,en fuite,fuite,fuit
1214,en garde à vue,in custody,loi justice juridique en,,in custody,custody,custodi,en garde à vue,garde vue,garde vu
1215,en liberté conditionnelle,on parole,loi justice juridique en,,on parole,parole,parol,en liberté conditionnelle,liberté conditionnelle,liberté conditionnel
1216,en liberté sous caution,on bail,loi justice juridique en,,on bail,bail,bail,en liberté sous caution,liberté sous caution,liberté sous caut
1217,en liberté surveillée,on probation,loi justice juridique en,,on probation,probation,probat,en liberté surveillée,liberté surveillée,liberté surveillé
1218,entrave à la justice,obstruction of justice,loi justice juridique en,,obstruction of justice,obstruction justice,obstruction justic,entrave à la justice,entrave justice,entrave justic
1219,"faire une enquête, enquêter","make an inquiry, investigate",loi justice juridique en,,make an inquiry investigate,make inquiry investigate,make inquiry investig,faire une enquête enquêter,faire enquête enquêter,faire enquête enquêt
1220,illégal,illegal,loi justice juridique en,,illegal,illegal,illeg,illégal,illégal,illégal
1221,inculpé,charged,loi justice juridique en,,charged,charged,charg,inculpé,inculpé,inculpé
1222,juridique,legal,loi justice juridique en,,legal,legal,legal,juridique,juridique,juridiqu
1223,l’administration pénitentiaire,"the prison administration, penitentiary administration",loi justice juridique en,,the prison administration penitentiary administration,prison administration penitentiary administration,prison administration penitentiary administr,l’administration pénitentiaire,’ administration pénitentiaire,’ administration pénitentiair
1224,l’amnistie,amnesty,loi justice juridique en,,amnesty,amnesty,amnesti,l’amnistie,’ amnistie,’ amnisti
1225,l’annulation du jugement,a mistrial,loi justice juridique en,,a mistrial,mistrial,mistrial,l’annulation du jugement,’ annulation jugement,’ annulation jug
1226,l’appel,appeal,loi justice juridique en,,appeal,appeal,appeal,l’appel,’ appel,’ appel
1227,l’application de la loi,law enforcement,loi justice juridique en,,law enforcement,law enforcement,law enforc,l’application de la loi,’ application loi,’ application loi
1228,l’audience,the hearing,loi justice juridique en,,the hearing,hearing,hear,l’audience,’ audience,’ audienc
1229,l’audience préliminaire,the preliminary hearing,loi justice juridique en,,the preliminary hearing,preliminary hearing,preliminary hear,l’audience préliminaire,’ audience préliminaire,’ audience préliminair
1230,l’audience sur l’état de l’instance,the status hearing,loi justice juridique en,,the status hearing,status hearing,status hear,l’audience sur l’état de l’instance,’ audience ’ état ’ instance,’ audience ’ état ’ inst
1231,l’auteur de délit,"the perpetrator, the offender",loi justice juridique en,,the perpetrator the offender,perpetrator offender,perpetrator offend,l’auteur de délit,’ auteur délit,’ auteur délit
1232,l’auto-contradiction,self-contradiction,loi justice juridique en,,selfcontradiction,selfcontradiction,selfcontradict,l’autocontradiction,’ autocontradiction,’ autocontradict
1233,l’auto-incrimination,self-incrimination,loi justice juridique en,,selfincrimination,selfincrimination,selfincrimin,l’autoincrimination,’ autoincrimination,’ autoincrimin
1234,l’avocat adverse,opposing counsel,loi justice juridique en,,opposing counsel,opposing counsel,opposing counsel,l’avocat adverse,’ avocat adverse,’ avocat advers
1235,l’avocat de défense pénale,the criminal defence lawyer,loi justice juridique en,,the criminal defence lawyer,criminal defence lawyer,criminal defence lawy,l’avocat de défense pénale,’ avocat défense pénale,’ avocat défense pénal
1236,l’avocat-conseil principal,"the senior counsel, general counsel",loi justice juridique en,,the senior counsel general counsel,senior counsel general counsel,senior counsel general counsel,l’avocatconseil principal,’ avocatconseil principal,’ avocatconseil princip
1237,l’exposé de la défense,the statement of defence,loi justice juridique en,,the statement of defence,statement defence,statement def,l’exposé de la défense,’ exposé défense,’ exposé défens
1238,l’invalidité,invalidity,loi justice juridique en,,invalidity,invalidity,invalid,l’invalidité,’ invalidité,’ invalidité
1239,l’emprisonnement,imprisonment,loi justice juridique en,,imprisonment,imprisonment,imprison,l’emprisonnement,’ emprisonnement,’ emprisonn
1240,la barre,the helm,loi justice juridique en,,the helm,helm,helm,la barre,barre,barr
1241,la barre des témoins,the witness stand / box,loi justice juridique en,,the witness stand  box,witness stand box,witness stand box,la barre des témoins,barre témoins,barre témoin
1242,la bonne conduite,"good conduct, good behavior",loi justice juridique en,,good conduct good behavior,good conduct good behavior,good conduct good behavior,la bonne conduite,bonne conduite,bonne conduit
1243,la bonne foi,good faith,loi justice juridique en,,good faith,good faith,good faith,la bonne foi,bonne,bonn
1244,la chambre d’un tribunal/salle d’audience,courtroom/hearing room,loi justice juridique en,,courtroomhearing room,courtroomhearing room,courtroomhearing room,la chambre d’un tribunalsalle d’audience,chambre ’ tribunalsalle ’ audience,chambre ’ tribunalsalle ’ audi
1245,la clémence,clemency,loi justice juridique en,,clemency,clemency,clemenc,la clémence,clémence,clémenc
1246,la confiscation d’un bien,"confiscation of property, forfeiture",loi justice juridique en,,confiscation of property forfeiture,confiscation property forfeiture,confiscation property forfeitur,la confiscation d’un bien,confiscation ’ bien,confiscation ’ bien
1247,la corruption,"corruption, bribery",loi justice juridique en,,corruption bribery,corruption bribery,corruption briberi,la corruption,corruption,corrupt
1248,la cour d’appel,the court of appeal,loi justice juridique en,,the court of appeal,court appeal,court app,la cour d’appel,cour ’ appel,cour ’ appel
1249,la culpabilité,guilt,loi justice juridique en,,guilt,guilt,guilt,la culpabilité,culpabilité,culpabilité
1250,la défense,defence,loi justice juridique en,,defence,defence,defenc,la défense,défense,défens
1251,la défense de pouvoir légitime,legal authority defense,loi justice juridique en,,legal authority defense,legal authority defense,legal authority defens,la défense de pouvoir légitime,défense pouvoir légitime,défense pouvoir légitim
