ID,FRENCH,ENGLISH,THEME,IMPORTANT
2468,une composition,a composition,musique,
2469,une corde,a string,musique,
2470,une fanfare,a brass band,musique,
2471,une fausse note,a wrong note,musique,
2472,une mélodie,a melody/ a tune,musique,
2473,une partition,a score,musique,
2474,une répétition,a rehearsal,musique,
2475,une rhapsodie,a rhapsody,musique,
2476,une table de mixage,a mixing deck,musique,
2477,une touche,a key,musique,
2478,une tournée,a tour,musique,
2479,un chant de noël,a carol,musique,
2480,l’hymne national,the national anthem,musique,
2481,la musique classique,classical music,musique,
2482,la musique contemporaine,contemporary music,musique,
2483,la musique country,country,musique,
2484,la musique d’ambiance,ambient music,musique,
2485,la musique électronique,electro music,musique,
2486,la musique latine/latino,latin/latino music,musique,
2487,la musique pop,pop music,musique,
2488,la musique romantique,romantic music,musique,
2489,la pop,pop,musique,
2490,la techno,techno music,musique,
2491,le blues,the blues,musique,
2492,le hard rock,hard rock,musique,
2493,le heavy metal,heavy metal,musique,
2494,le hip hop,hip hop,musique,
2495,le jazz,jazz,musique,
2496,le r’n’b,the r’nb,musique,
2497,le rap,rap,musique,
2498,le reggae,reggae,musique,
2499,le rock,rock music,musique,
2500,un cantique,a hymn,musique,
2501,une chanson d’amour,a love song,musique,
2502,une symphonie,a symphony,musique,
2503,une harpe,a harp,musique,
2504,des cymbales,cymbals,musique,
2505,des maracas,maracas,musique,
2506,les cuivres,brass instruments,musique,
2507,les instruments à cordes,string instruments,musique,
2508,un accordéon,an accordion,musique,
2509,un alto,a viola,musique,
2510,un banjo,a banjo,musique,
2511,un biniou,a breton bagpipes,musique,
2512,un clairon,a bugler,musique,
2513,un clavier,an electronic keyboard,musique,
2514,un cor d’harmonie,a french horn,musique,
2515,un flûtiste,a flautist,musique,
2516,un gong,a gong,musique,
2517,un harmonica,a harmonica,musique,
2518,un hautbois,an oboe,musique,
2519,un instrument à bois,a wood instrument,musique,
2520,un instrument à vent,a wind instrument,musique,
2521,un instrument de musique,a musical instrument,musique,
2522,un instruments de cuivre,a copper instruments,musique,
2523,un orgue,an organ,musique,
2524,un piano,a piano,musique,
2525,un piccolo,a piccolo,musique,
2526,un saxophone,a saxophone,musique,
2527,un tambour,a drum,musique,
2528,un tambourin,a tambourine,musique,
2529,un triangle,a triangle,musique,
2530,un trombone,a trombone,musique,
2531,un tuba,a tuba,musique,
2532,un ukulélé,a ukulele,musique,
2533,un violon,a violin,musique,
2534,un violoncelle,a cello,musique,
2535,un xylophone,a xylophone,musique,
2536,une batterie,a drum kit/ drums,musique,
2537,une clarinette,a clarinet,musique,
2538,une contrebasse,a double bass,musique,
2539,une cornemuse,a bagpipe,musique,
2540,une flûte,a flute,musique,
2541,une flûte de pan,a panpipes,musique,
2542,une grosse caisse,a bass drum,musique,
2543,une guitare,a guitar,musique,
2544,une guitare acoustique,an acoustic guitar,musique,
2545,une guitare classique,a classical guitar,musique,
2546,une guitare électrique,an electric guitar,musique,
2547,une sitar (indien),a sitar (indian),musique,
2548,une trompette,a trumpet,musique,
2549,un groupe (de rock),a (rock) band,musique,
2550,un baryton,a baritone,musique,
2551,un chœur/ une chorale,a chorus/ a choir,musique,
2552,un claviste,a keyboard player,musique,
2553,un compositeur,a composer,musique,
2554,un dj (disc-jockey),a dj (disk-jockey),musique,
2555,un duo,a duet,musique,
2556,un groupe,a band,musique,
2557,un groupe de pop,a pop group,musique,
2558,un groupe de scène,a stage band,musique,
2559,un guitariste,a guitarist,musique,
2560,un orchestre de jazz,a jazz band,musique,
2561,un organiste,an organist,musique,
2562,un pianiste,a pianist,musique,
2563,un rappeur,a rapper,musique,
2564,un saxophoniste,a saxophonist,musique,
2565,un soliste,a soloist,musique,
2566,un soprano,a soprano,musique,
2567,un ténor,a tenor,musique,
2568,un tromboniste,a trombonist,musique,
2569,un trompettiste,a trumpet player,musique,
2570,un violoncelliste,a cellist,musique,
2571,un violoniste,a violinist,musique,
2572,apprécier,to appreciate / to enjoy,musique,
2573,fredonner,to hum,musique,
2574,jouer d’un instrument,to play an instrument,musique,
2575,jouer dans un groupe,to play in a band,musique,
2576,s’entraîner,to practise,musique,
2577,se perfectionner,to perfect/ to improve,musique,
2578,un amateur,an amateur,sport,
2579,un professionnel,a professional,sport,
2580,les chaussures de sport,trainers,sport,
2581,les gants de boxe,boxing gloves,sport,
2582,les genouillères,knee pads,sport,
2583,les haltères,dumbbells,sport,
2584,l’arbitre,the referee,sport,
2585,l’aviron,rowing,sport,
2586,l’haltérophilie,weight lifting,sport,
2587,l’entraîneur,the coach,sport,
2588,la boxe,boxing,sport,
2589,la compétition,competition,sport,
2590,la coupe du monde,the world cup,sport,
2591,la course automobile,motor racing,sport,
2592,la gymnastique,gymnastics,sport,
2593,la ligne d’arrivée,the finish line,sport,
2594,la lutte,wrestling,sport,
2595,la mi-temps,half-time,sport,
2596,la planche à voile,windsurfing,sport,
2597,la spéléologie,caving/ spelunking,sport,
2598,le badminton,badminton,sport,
2599,le base-ball,baseball,sport,
2600,le basket-ball,basketball,sport,
2601,le cavalier,the rider,sport,
2602,le champ de courses,the racecourse,sport,
2603,le championnat,the championship,sport,
2604,le criquet,cricket,sport,
2605,le curling,curling,sport,
2606,le cyclisme,cycling,sport,
2607,le filet,the net,sport,
2608,le football,football (usa: soccer),sport,
2609,le gagnant,the winner,sport,
2610,le golf,golf,sport,
2611,le handball,handball,sport,
2612,le hockey,hockey,sport,
2613,le hockey sur glace,ice hockey,sport,
2614,le jeu,the game,sport,
2615,le jogging,jogging,sport,
2616,le judo,judo,sport,
2617,le motocross,motocross,sport,
2618,le panier,the basket,sport,
2619,le parapente,paragliding,sport,
2620,le patinage artistique,figure skating,sport,
2621,le patinage sur glace,ice skating,sport,
2622,le polo,polo,sport,
2623,le record du monde,the world record,sport,
2624,le roller,roller-skating,sport,
2625,le rugby,rugby,sport,
2626,le saut à ski,ski jumping,sport,
2627,le saut en hauteur,high jump,sport,
2628,le saut en longueur,long jump,sport,
2629,le ski,skiing,sport,
2630,le ski alpin,downhill skiing,sport,
2631,le ski de fond,cross-country skiing,sport,
2632,le snowboard,snowboarding,sport,
2633,le spectateur,the spectator,sport,
2634,le stade,stadium,sport,
2635,le succès,success,sport,
2636,le surf,surf,sport,
2637,le tennis,tennis,sport,
2638,le tennis de table,table tennis,sport,
2639,le terrain de golf,the golf course,sport,
2640,le tir a l’arc,archery,sport,
2641,le tir sportif,shooting,sport,
2642,le volley-ball,volleyball,sport,
2643,le water polo,water polo,sport,
2644,les jeux olympiques,olympics,sport,
2645,un athlète,an athlete,sport,
2646,un champion,champion,sport,
2647,un club de golf,a golf club,sport,
2648,un coéquipier,a teammate,sport,
2649,un débutant,a beginner,sport,
2650,un échauffement,a warm-up,sport,
2651,un marathon,a marathon,sport,
2652,un tournoi,a tournament,sport,
2653,un trophée,a trophy,sport,
2654,une coupe,a cup,sport,
2655,une course,a race,sport,
2656,une course de chevaux,a horse race,sport,
2657,une course de voiture,a car race,sport,
2658,une crosse de hockey,a hockey stick,sport,
2659,une équipe,a team,sport,
2660,une médaille,a medal,sport,
2661,une perche,a pole,sport,
2662,une piste de ski,a ski slope,sport,
2663,une planche de surf,a surfboard,sport,
2664,une raquette,a racket,sport,
2665,battre un record,to beat a record,sport,
2666,démarrer,to start,sport,
2667,devancer/ dépasser,to overtake,sport,
2668,égaliser,to equalize,sport,
2669,faire de la musculation,do weight training,sport,
2670,faire des étirements,to stretch,sport,
2671,faire du patin à glace,to do ice-skating,sport,
2672,jouer au golf,to play golf,sport,
2673,marquer un but,to score a goal,sport,
2674,marquer un point,to score a point,sport,
2675,mener/ être en tête,to lead/ be in the lead,sport,
2676,monter un cheval,to ride a horse,sport,
2677,retrouver la forme,to get fit,sport,
2678,s’échauffer,to warm up,sport,
2679,servir,to serve,sport,
2680,un compte,an account,sport,
2681,bon marché / pas cher,cheap,argent banque finance,
2682,des économies,savings,argent banque finance,
2683,du liquide,cash,argent banque finance,
2684,la banque,a bank,argent banque finance,
2685,la bourse,stock exchange,argent banque finance,
2686,la monnaie/ l’argent,money,argent banque finance,
2687,le blanchiment d’argent,money laundering,argent banque finance,
2688,le credit,a credit,argent banque finance,
2689,le débit,debit/ flow,argent banque finance,
2690,le salaire,wages,argent banque finance,
2691,le taux de change,an exchange rate,argent banque finance,
2692,le taux de remise,a discount rate,argent banque finance,
2693,le taux/ le tarif,a rate,argent banque finance,
2694,le traitement,a salary,argent banque finance,
2695,les marchés financiers,financial markets,argent banque finance,
2696,monétaire,monetary,argent banque finance,
2697,un banquier,a banker,argent banque finance,
2698,un bulletin de salaire,a pay slip,argent banque finance,
2699,un carnet de chèque,a cheque book,argent banque finance,
2700,un chèque en blanc,a blank cheque,argent banque finance,
2701,un chèque en bois,a rubber cheque,argent banque finance,
2702,un coffre fort,a safe,argent banque finance,
2703,un compte à découvert,an overdrawn account,argent banque finance,
2704,un compte bancaire,a bank account,argent banque finance,
2705,un compte d’épargne,a savings account,argent banque finance,
2706,un dépôt à terme,a term deposit,argent banque finance,
2707,un directeur de banque,a bank manager,argent banque finance,
2708,un employé de banque,bank clerk,argent banque finance,
2709,un lingot d’or,a gold bar,argent banque finance,
2710,un loyer,a rent,argent banque finance,
2711,un moyen de paiement,a mean of payment,argent banque finance,
2712,un prêt garanti,a secured credit,argent banque finance,
2713,un prêt immobilier,a real estate loan,argent banque finance,
2714,un prêt/ un emprunt,a loan,argent banque finance,
2715,un reçu,a receipt,argent banque finance,
2716,un relevé bancaire,a bank statement,argent banque finance,
2717,un relevé de compte,a statement of account,argent banque finance,
2718,un taux d’intérêt,an interest rate,argent banque finance,
2719,un virement bancaire,a bank transfer,argent banque finance,
2720,une banque de détail,a retail bank,argent banque finance,
2721,une banque privée,a private bank,argent banque finance,
2722,une caisse d’épargne,a saving bank,argent banque finance,
2723,une carte de crédit,a credit card,argent banque finance,
2724,une devise forte,a hard currency,argent banque finance,
2725,une devise/ une monnaie,a currency,argent banque finance,
2726,une filiale,a subsidiary,argent banque finance,
2727,une hypothèque,a mortgage,argent banque finance,
2728,une pièce de monnaie,a coin,argent banque finance,
2729,une transaction,a transaction,argent banque finance,
2730,accorder un prêt,to grant a loan,argent banque finance,
2731,acheter à crédit,to buy on credit,argent banque finance,
2732,demander un prêt,to apply for a loan,argent banque finance,
2733,demander une garantie,to ask for security,argent banque finance,
2734,dépenser,to spend,argent banque finance,
2735,emprunter,to borrow,argent banque finance,
2736,être à découvert,to be in the red,argent banque finance,
2737,être économe,to be thrifty,argent banque finance,
2738,faire crédit à quelqu’un,to give somebody credit,argent banque finance,
2739,faire faillite,to go bankrupt,argent banque finance,
2740,faire un chèque,to write a check,argent banque finance,
2741,garder la monnaie,to keep the change,argent banque finance,
2742,investir,to invest,argent banque finance,
2743,payer en espèces,to pay cash,argent banque finance,
2744,rembourser,to refund,argent banque finance,
2745,toucher un chèque,to cash a cheque,argent banque finance,
2746,vérifier un compte,to audit an account,argent banque finance,
2747,à la maison/ chez soi,home/ at home,argent banque finance,
2748,une ampoule,a bulb/ a lightbulb,la maison,
2749,un appartement,a flat/ an apartment,la maison,
2750,une armoire,a cupboard/ a wardrobe,la maison,
2751,un balai,a broom/ a brush,la maison,
2752,une brosse,a brush,la maison,
2753,le buffet,sideboard,la maison,
2754,le balcon,the balcony,la maison,
2755,une boîte aux lettres,a letterbox,la maison,
2756,un canapé,a sofa,la maison,
2757,le chauffage central,central heating,la maison,
2758,une commode,a chest of drawers,la maison,
2759,un coussin,a cushion,la maison,
2760,la couverture,a blanket,la maison,
2761,climatiseur,the aircon,la maison,
2762,un cintre,a hanger,la maison,
2763,une couette,a quilt/ a duvet,la maison,
2764,dedans,inside/ indoors,la maison,
2765,dehors,outside/ outdoors,la maison,
2766,un drap,the sheet,la maison,
2767,l’évier,a (kitchen) sink,la maison,
2768,un fauteuil,an armchair,la maison,
2769,une fenêtre,a window,la maison,
2770,un fer à repasser,an iron,la maison,
2771,un interrupteur,a light switch,la maison,
2772,un lave-linge,a washing machine,la maison,
2773,le lit,the bed,la maison,
2774,une maison,a house,la maison,
2775,un mur,a wall,la maison,
2776,un matelas,a matress,la maison,
2777,des meubles,furnitures,la maison,
2778,un oreiller,a pillow,la maison,
2779,le papier peint,the wallpaper,la maison,
2780,le propriétaire,the landlord,la maison,
2781,le plafond,the ceiling,la maison,
2782,le portail,the gate,la maison,
2783,une poubelle,a rubbish bin/ a dustbin,la maison,
2784,poussiéreux/poussiéreuse,dusty,la maison,
2785,un paillasson,a doormat,la maison,
2786,une poignée,a handle,la maison,
2787,un radiateur,a radiator/ a heater,la maison,
2788,un rideau,a curtain,la maison,
2789,la saleté,dirt/ dirtiness/ filth,la maison,
2790,le sol,the floor/ the ground,la maison,
2791,une sonnette,a doorbell,la maison,
2792,les stores,the blinds,la maison,
2793,spacieux/spacieuse,spacious/ roomy,la maison,
2794,un tabouret,a stool,la maison,
2795,les tâches ménagères,houshold chores,la maison,
2796,le téléphone,the phone,la maison,
2797,la télévision,the television,la maison,
2798,un tiroir,a drawer,la maison,
2799,un ventilateur,a fan,la maison,
2800,les volets,the shutters,la maison,
2801,une assiette,the plate,la maison,
2802,un bol,a bowl,la maison,
2803,une bouilloire,a kettle,la maison,
2804,une casserole,a saucepan,la maison,
2805,un congélateur,a freezer,la maison,
